scene_id,location,dialogue_beats,choices,hotspots,structural_reachable,automatic,gui,evidence
SCENE_ACT0_DRIVE,MOUNTAIN_ROAD,23,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT0_WATCH_CALL,CAR,23,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT0_MESSAGES,CAR,14,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT0_LAST_CALL,CAR,24,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT0_ARRIVAL,HOSPITAL_EXTERIOR,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,UI_TRAVERSED_NOT_INDIVIDUALLY_OBSERVED,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT1_YUJIN_FIRST,1F_LOBBY,13,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT1_YUJIN_SEARCH,1F_LOBBY,13,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT1_YUJIN_DENIAL,1F_LOBBY,11,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT1_YUJIN_WARNING,1F_LOBBY,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT2_THIRD_FLOOR,3F_CORRIDOR,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
