character,path,role,manifest_status_not_new_approval,width,height,alpha_bbox,review
seoyun,assets/characters/seoyun/master/CHAR_Seoyun_FaceMaster_v01.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
seoyun,assets/characters/seoyun/master/CHAR_Seoyun_FullbodyMaster_v01.png,REFERENCE,reference-approval-unverified,992,1216,"(0, 0, 992, 1216)",FACE_AND_BODY_SHEET_VIEWED
seoyun,assets/characters/seoyun/refs/CHAR_Seoyun_BaseRef_v01.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
seoyun,assets/characters/seoyun/refs/CHAR_Seoyun_OldDesignRef_v01.png,REFERENCE,reference-approval-unverified,992,1216,"(0, 0, 992, 1216)",FACE_AND_BODY_SHEET_VIEWED
seoyun,assets/characters/seoyun/sprites/CHAR_Seoyun_Phone_Frightened_Bust_v01.png,RUNTIME,integrated,1122,1402,"(60, 41, 1025, 1402)",FACE_AND_BODY_SHEET_VIEWED
seoyun,assets/characters/seoyun/sprites/CHAR_Seoyun_Phone_Guarded_Bust_v01.png,RUNTIME,integrated,1122,1402,"(46, 35, 1033, 1402)",FACE_AND_BODY_SHEET_VIEWED
seoyun,assets/characters/seoyun/sprites/CHAR_Seoyun_Phone_Tense_Bust_v02.png,RUNTIME,integrated,1132,1390,"(55, 57, 1018, 1390)",FACE_AND_BODY_SHEET_VIEWED
yujin,assets/characters/yujin/master/CHAR_Yujin_FullbodyMaster_v01.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
yujin,assets/characters/yujin/master/CHAR_Yujin_FullbodyMaster_v02.png,REFERENCE,approvedNotIntegrated,1024,1536,"(0, 0, 1024, 1536)",FACE_AND_BODY_SHEET_VIEWED
yujin,assets/characters/yujin/sprites/CHAR_Yujin_Alarmed_Full_v03.png,RUNTIME,integrated,1024,1536,"(351, 103, 690, 1450)",FACE_AND_BODY_SHEET_VIEWED
yujin,assets/characters/yujin/sprites/CHAR_Yujin_Guarded_Full_v01.png,RUNTIME,integrated,1024,1536,"(65, 15, 962, 1536)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/master/CHAR_Taejun_FaceMaster_v01.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/master/CHAR_Taejun_FullbodyMaster_v01.png,REFERENCE,reviewCandidates,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/master/CHAR_Taejun_FullbodyMaster_v02.png,REFERENCE,approvedNotIntegrated,884,1779,"(0, 0, 884, 1779)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/refs/CHAR_Taejun_BodyRef_v01.png.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/sprites/CHAR_Taejun_Cold_Full_v01.png,RUNTIME,integrated,867,1815,"(197, 20, 686, 1702)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/sprites/CHAR_Taejun_Confrontational_Full_v01.png,RUNTIME,integrated,768,1552,"(172, 20, 768, 1552)",FACE_AND_BODY_SHEET_VIEWED
taejun,assets/characters/taejun/sprites/CHAR_Taejun_Watchful_Full_v01.png,RUNTIME,integrated,884,1779,"(197, 17, 693, 1707)",FACE_AND_BODY_SHEET_VIEWED
sea,assets/characters/sea/master/CHAR_Sea_FullbodyMaster_v01.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
sea,assets/characters/sea/master/CHAR_Sea_FullbodyMaster_v02.png,REFERENCE,approvedNotIntegrated,1024,1536,"(0, 0, 1024, 1536)",FACE_AND_BODY_SHEET_VIEWED
sea,assets/characters/sea/sprites/CHAR_Sea_Confused_Full_v03.png,RUNTIME,integrated,1024,1536,"(325, 57, 675, 1482)",FACE_AND_BODY_SHEET_VIEWED
sea,assets/characters/sea/sprites/CHAR_Sea_Wary_Full_v01.png,RUNTIME,integrated,1024,1536,"(65, 23, 962, 1494)",FACE_AND_BODY_SHEET_VIEWED
minseo,assets/characters/minseo/master/CHAR_Minseo_FaceMaster_v02.png.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
minseo,assets/characters/minseo/master/CHAR_Minseo_FullbodyMaster_v01.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
minseo,assets/characters/minseo/refs/CHAR_Minseo_UniformPoseRef_v01.png.png,REFERENCE,reference-approval-unverified,896,1344,"(0, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
minseo,assets/characters/minseo/sprites/CHAR_Minseo_Clinical_Full_v02.png,RUNTIME,integrated,896,1344,"(140, 0, 896, 1344)",FACE_AND_BODY_SHEET_VIEWED
