source_scene,quoted_source_line,runtime_substring_presence_not_semantic_verdict
SCENE 4-111 — 태준이 돌아온다,서윤이가 찍혔다면서요.,EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,네.,EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,저도 CCTV 영상 좀 볼 수 있습니까?,NOT_EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,그건 어렵습니다.,NOT_EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,제 동생이 찍혀 있는데도요?,NOT_EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,그건 이해하는데요. 외부인한테 내부 CCTV를 바로 보여드릴 수는 없어요.,NOT_EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,그럼 하나만 확인해 주세요.,NOT_EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,302호에 들어간 다음에 나오는 모습은 정말 없는 겁니까?,NOT_EXACT_SUBSTRING
SCENE 4-111 — 태준이 돌아온다,제가 확인한 영상에는 없습니다.,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,그럼 계속 방 안에 있었다는 얘기잖아요.,NOT_EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,아니면 카메라에 안 찍히고 나갈 방법이 있거나.,NOT_EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,그건 저도 확인 중입니다.,NOT_EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,영상 자체에는 이상한 거 없었습니까?,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,있었네요.,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,잠깐 비는 구간이 있습니다.,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,얼마나요?,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,1분 정도요.,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,정전 때문입니까?,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,아니요.,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,그럼 왜 끊긴 겁니까?,NOT_EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,그것까지는 아직 모릅니다.,NOT_EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,원래 자주 그러고요?,NOT_EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,아뇨.,EXACT_SUBSTRING
SCENE 4-112 — 주인공이 캐묻는다,저런 식으로 끊기는 일은 거의 없어요.,EXACT_SUBSTRING
SCENE 4-113 — 여기까지,그 1분 동안 서윤이가 나갔을 수도 있겠네요.,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,가능성은 있죠.,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,엘리베이터나 계단은요?,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,그쪽도 확인하고 있습니다.,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,없었습니까?,EXACT_SUBSTRING
SCENE 4-113 — 여기까지,보호자분.,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,제가 확인할 수 있는 건 확인할 테니까 일단 여기 계세요.,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,왜 말을 하다 마십니까.,NOT_EXACT_SUBSTRING
SCENE 4-113 — 여기까지,내부 확인 중인 내용을 제가 전부 말씀드릴 수는 없어요.,NOT_EXACT_SUBSTRING
SCENE 4-114 — 직원들끼리의 이야기,…302호 쪽은…,NOT_EXACT_SUBSTRING
SCENE 4-114 — 직원들끼리의 이야기,…시설팀에서는 그런 기록이 없다고…,NOT_EXACT_SUBSTRING
SCENE 4-115 — 302호에서 내려온 물건,뭐 찾으셨어요?,EXACT_SUBSTRING
