id,priority,title,scope_reproduction_evidence_minimum_fix_impact_approval
F01,P1,사건 시각과 시간 경과 계약 불일치,"**분류:** OBS-GUI / OBS-CODE / SIM. **관련:** `src/content/prologue.ts:257,708,711,1132`, `src/gameplay/gameClock.ts`, `src/engine/loop.ts`; ACT0_WATCH_CALL/ARRIVAL, ACT3_BLACKOUT/FIRST_DEATH, LOOP2_BLACKOUT_INTERVENTION, CHAPTER02_END→CH3_BAND_REQUEST.
**재현:** 새 게임의 메시지 순서 보존 경로, 302호 사용 흔적+손목밴드 2개 조사, 직원용 문에서 기다림. GUI 정전 시계 22:45. 사망 저장 time=82(21:23+82). Loop 2 문자 예측→유진 정확 공개→추론→정전 대기는 22:01. SIM의 다른 경로/조사3개는 첫 정전22:47, Loop 2 최소 공개 경로는21:58이다.
**기대/관찰:** CANON의 정전은 자정 고정 사건인데 효과는 분 단위 가산만 한다. 정전 끝 대사는 휴대전화 시간도 표시되지 않는다고 하지만 HUD는 22:45를 표시한다. 주소 확인 시 50분 초과 경로가 런타임 도착21:48, Loop 2는 이번 GUI21:36(다른 SIM21:33)으로 단축된다. CH2의 마지막 시각 뒤 CH3 진입에서00:27로 보정되어 앞의 부족한 경과가 뒤늦게 튄다.
**증거:** gui-blackout-2245.jpg, gui-blackout-clock-contradiction.jpg, gui-loop2-arrival-2136.jpg, gui-first-death-avoided.jpg, isolated-gui-save.json, normal-state-simulation.json.
**영향:** 고정 사건 예측, 남은 시간의 신뢰, 이동 거리, 사망 기록, 반복의 시간 절약 보상. 시간비용 UI를 판단 기준으로 삼기 어렵다(INFERENCE).
**최소 수정안:** 고정 사건 진입에 일관된 시간 앵커와 대기 경과를 적용하고, 여행/시계 표시 중단 조건을 함께 검사. 기억 사용 범위와 저장 time의 의미도 회귀 검사. 대사를 바꾸어 숫자 오류를 감추지 않는다.
**승인:** 기존 시간 CANON에 맞추는 코드 수정은 다음 실행의 일반 수정 범위. 사건 시점/대사 자체 변경은 별도 승인. 현재 미적용."
F02,P1,CH2 확정 원문을 검사하지 않는 구현/테스트,"**분류:** OBS-CODE. **관련:** `docs/story/LOOP2_SEOYUN_DID_NOT_KNOW.md` 4-111~152; `src/content/prologue.ts:1393` 이후; `scripts/verify-dialogue-source.ts`.
**재현:** 원문 4-111의 CCTV 열람 요청과 거절 연쇄, 4-127의 손목밴드 처리 선택, 4-134의 대기/연락/복귀 선택, 4-148~150의 시각 확인과 서윤의 동요를 해당 런타임 장면과 순서대로 비교한다.
**관찰:** CCTV 대화는 간단한 빈 구간 질문으로 압축됐고, 원문의 위 선택 블록을 같은 위치에서 제공하지 않는다. 후반 감정 전개는 CHAPTER02_END의 요약적 규칙 선언으로 압축된다. CH3의 손목밴드 선택이 별도로 있다고 해서 CH2 원문의 선택/동기를 동일하게 구현한 것은 아니다.
**증거:** DIALOGUE_COMPARISON.csv; 원문 인용 210행 중 exact substring72/비일치138. 이 수치는 중복/편집 인용과 문장부호 차이를 포함하는 검색 보조값이며 “138개 대사 삭제”라는 판정이 아니다. 위 구체 사례는 직접 대조했다. 이번 npm test PASS도 함께 기록했다.
**영향:** 정보의 대가, 직원의 거절 이유, 서윤의 불완전한 지식과 감정 반응이 약해짐(INFERENCE). body→beats 보존 검사는 이미 바뀐 body를 기준으로 하므로 이를 검출하지 못한다.
**최소 수정안:** 승인 원문 장면/대사/선택과 런타임 ID의 정확 매핑을 만든 뒤 누락된 연쇄부터 복원. CH3 source 검사처럼 원문 기반 검사를 추가한다. 원문 간 충돌은 F03/F10 승인 안건으로 분리한다.
**승인:** 승인 원문 그대로 복원하는 기술 작업과 편집적 재작성은 구별해야 한다. 원문 변경/선택 이동·축약을 유지하는 결정은 사용자 승인 필요."
F03,P1,손목밴드 소지와 06 지식의 생성 경로가 없음,"**분류:** OBS-GUI(첫 밤), OBS-CODE / SIM(CH2 이후). **관련:** `prologue.ts:616,652,1463`, `chapter3.ts:313,337-361`, `engine/loop.ts`; LEAVE_WRISTBAND_AND_REPLY, LOOP2_06_CARD, CH3_BAND_REQUEST.
**재현:** 첫 밤 손목밴드를 조사하고 “제자리에 두고 방을 나온다” 선택. 죽어 Loop 2로 돌아온 뒤 일반 경로로 CH3 진입. SIM에서 진입 직전 물품은 FIRST_PHONE_PHOTO/SECOND_PHONE/OLD_MAP_PHOTO이고 손목밴드는 없다.
**관찰:** 첫 밤 설명에는 병실/생년월일만 남지만 Loop 2는 첫 밤 06을 보았다고 회상한다. CH3는 “아직 가지고 계십니까?”와 무조건적인 3개 소지 처리 선택을 제공한다. B/C 선택은 그 순간 원본/사진을 gainItem한다. 루프 리셋에서 물품은 정상적으로 지워진다.
**증거:** gui-band-left.jpg, android-band.png, SCENE_GRAPH.json, normal-state-simulation.json의 CH3 진입 전후.
**영향:** 원본 보관 선택, 유진 동행 조건, 카드와 밴드의 동일 세션 판단을 뒷받침하는 물리적 증거가 사라진다.
**최소 수정안:** Loop 2에 승인된 관찰/재획득 경로를 명시하고, 실제 소지/확인 여부를 선택 조건과 회상 조건으로 사용. 원문 4-127/CH3 custody를 하나의 상태 계약으로 정리한다.
**승인:** 새 획득 장면/대사 및 첫 밤 지식 변경은 승인 필요. 첫 밤의 “남겨 둔다”를 몰래 “챙긴다”로 바꾸거나 물품 전체를 루프에 영구 보존하지 않는다."
F04,P1,Foreknowledge가 실제 과거 대신 대체 분기를 기억으로 서술,"**분류:** OBS-GUI / OBS-CODE. **관련:** `src/gameplay/choicePresentation.ts:133-145`, `src/ui/NarrativePlayer.tsx:1569`; REVEAL_EXACT_FOREKNOWLEDGE.
**재현:** 새 게임→첫 사망→Loop 2에서 처음으로 휴대전화 모순을 보고 유진에게 정확한 기억 공개를 선택한다. 최소 공개 경로를 먼저 플레이하지 않는다.
**관찰:** 모달의 “이전에 확인한 결말”에 “유진에게 휴대전화의 모순만 제한적으로 알렸다”가 표시된다. 이번 경로에서는 그런 과거가 없다. 실제 저장 이력에도 최소 공개 장면이 없다.
**증거:** gui-backfire-false-history.jpg, isolated-gui-save.json.
**영향:** 기억을 활용한다는 핵심 시스템이 플레이어 경험과 다른 과거를 만들어 보인다.
**최소 수정안:** known 문구를 실제 확인 이력에서 구성하거나, 확인하지 않은 대체 결과는 생략. 다른 intervention 문구도 같은 기준으로 검사.
**승인:** 허위 과거 표시 제거는 일반 버그 수정; 정해진 대사/세계 규칙 변경 필요 없음. 새 내러티브 설명문을 도입한다면 문구 검토."
F05,P1,현장 키트의 조기 정보 공개와 사실 과장,"**분류:** OBS-GUI(초반 이름) / OBS-CODE(나머지). **관련:** `src/ui/FieldKit.tsx:71,88,97,126,130,233,241`, `prologue.ts` APPROACH_RECEPTION, `CH05_THE_SIXTH_ROOM.md` 5-05.
**재현:** 새 게임 첫 선택 후21:27에 현장 키트를 연다. 그 뒤 아래의 조건별 카드 내용을 코드와 대조한다.
**관찰:** 아직 죽음/단서가 없는 상태에 MNEMOSYNE // FIELD LINK, INSTANCE01이 보인다. CH5 원문은 연구명이 처음 듣는 이름이라고 쓴다. 필드 키트는 유진을 원무과 직원으로 소개하지만 CANON은 야간 책임 간호사다. 세아 소개는 죽음/반복을 “이미 알고 있었다”로 확정한다. B1 이송실 상세는 01:06 밀폐를 최초 사망 전부터 정적 문구로 설명한다. 피난 안내도 단서는 접수 접근에 지급되어 태준 knownWhen도 먼저 열릴 수 있다. 선물 시계 카드의 이미지가 첫 사망 CG다.
**증거:** android-early-fieldkit.png, 해당 FieldKit 상수/조건. 이름/INSTANCE 외 세부 카드의 조기 노출은 이번 GUI 재현 완료로 표시하지 않는다.
**영향:** 현재 인물이 아는 사실, 플레이어가 추론해야 할 사실, 제작자가 아는 진실이 섞인다. 이름만으로 전체 진상이 노출됐다는 P0 주장은 하지 않는다.
**최소 수정안:** 조사·대면·사망·후반 공개 플래그별 카드/명칭/이미지 단계화. 직책은 기존 CANON과 일치. 추정 내용을 확정 지식으로 저장하지 않는다.
**승인:** 연구명/UI의 의도적 비세계관 표시 여부는 아트/서사 승인 필요. 잘못된 직책/조건 참조 수정은 기존 기준 복구 범위."
F06,P1,질문과 지식의 선후 관계가 뒤집힘,"**분류:** OBS-CODE + 마지막 문장 OBS-GUI. **관련:** `prologue.ts:576,659-679,1365-1410`; ACT2_NURSE_AT_302, ACT2_REMOTE_KNOWLEDGE, VERTICAL_SLICE_END, LOOP2_CCTV_GAP.
**재현/관찰:** (a) “지하에는 뭐가 있습니까?”→간호사의 답→“지하를 묻기 전이었다.”가 한 장면에 연속한다. (b) 접수에서는 입원 조회 부재를 말했는데 나중에 “빈 병실이라고 했습니다”로 인용한다. (c) 302호에 있는 끝점 내레이션이 CCTV 입원을 이미 확인했다고 정리하고 다음 장면은 그 사실을 알고 질문하지만 전달받는 사건이 없다.
**증거:** gui-before-asking-contradiction.jpg와 해당 source 본문. (b)(c)는 코드 대조, GUI 해당 모든 대사 관찰은 아님.
**영향:** 인물의 수상함이 의도된 정보 차이인지 단순 문장 오류인지 구분하기 어렵다.
**최소 수정안:** 원문 순서를 먼저 복원하고 관찰/전언/추론 출처를 연결. 해당 한 줄 제거/이동도 확정 대사를 바꾸므로 편집안으로 먼저 제시한다.
**승인:** 확정 대사의 삭제/재배치/새 전달 대사는 사용자 승인 필요."
F07,P1,민서 스프라이트의 가운 소실과 미확정 얼굴 기준,"**분류:** OBS-CODE/ASSET, 얼굴 인상 차이는 편집 판단. **관련:** `assets/characters/minseo/sprites/CHAR_Minseo_Clinical_Full_v02.png` 및 동명 json; FaceMaster_v02.png.png, FullbodyMaster_v01.png; NarrativePlayer의 minseo visual; CH3 민서 등장.
**재현:** 현재 PNG를 밝은 회색과 청회색 배경 위에 합성한 감사 시트에서 옷의 경계를 확인한다.
**관찰:** 화면 오른쪽 아래 가운 몸판과 왼쪽 긴 가운 부분에 넓은 투명 영역/가느다란 잔선이 남아 배경색이 통과한다. head-to-mid-thigh는 메타데이터에 명시된 의도적 프레이밍이므로 “전신 파일이 잘렸다”는 별도 오류로 판정하지 않는다. 최신 얼굴 후보는 선화 중심이고 현재 스프라이트는 더 매끈한 명암/눈·턱 인상이다. 옛 아트 문서는 얼굴/전신을 후보로 표기하며 manifest의 integrated만으로 최종 얼굴 승인을 확인할 수 없다.
**증거:** minseo-alpha-mattes.png, minseo-face.png, minseo-body.png, 원본 PNG/JSON. 실제 Android 민서 등장은 이번 미플레이.
**영향:** 가운 일부가 사라진 인상, 캐릭터 동일성 기준 없이 파생 아트가 굳어질 위험.
**최소 수정안:** 원본을 보존하고 승인된 비투명 가운 정보가 있는 파생 원본으로 마스크만 복구. 얼굴을 새로 생성하는 작업과 분리. 복구 후 어두운/밝은 병원 배경 및 Android 등장 장면에서 검사.
**승인:** 얼굴 기준 잠금/재제작은 승인 필요. 이미 승인된 그림의 알파 복구는 기준을 유지하는 기술 수정으로 별도 소배치 가능. 현재 적용 안 함."
F08,P1,유진 표정 전환 시 인상과 화풍 차이,"**분류:** OBS-ASSET, 정체성 수용 여부는 편집 판단. **관련:** CHAR_Yujin_Guarded_Full_v01.png, CHAR_Yujin_Alarmed_Full_v03.png, FullbodyMaster_v01/v02; ACT1 조회/Loop 2 정보 공개.
**재현:** yujin-face/body 시트에서 기준과 현재 두 표정을 비교한다.
**관찰:** 묶은 머리·청색 간호복은 유지한다. Guarded는 부드러운 사실적 명암/길고 성숙한 얼굴 인상, Alarmed는 더 굵은 선과 넓은 눈/어린 인상이다. 표정의 변화 외에 얼굴 표현 체계가 달라 보인다. 동일 인물이 아니라고 확정하거나 나이를 사실로 판정하지 않는다.
**증거:** yujin-face.png/yujin-body.png; Android에서는 두 표정 일부를 확인했으나 동일 문맥의 나란한 A/B 비교 플레이는 아니다.
**영향:** 중요한 정보 공개 때 표정 변화보다 모델 교체가 먼저 인식될 가능성.
**최소 수정안:** 승인 얼굴 기준을 하나 선택하고 눈/턱/헤어라인/명암/선 두께를 유지한 표정 파생으로 제한.
**승인:** 얼굴 정체성·화풍 수정은 승인 필요. 의상/포즈까지 불필요하게 재설계하지 않는다."
F09,P1,전체 시나리오의 후반부 미구현,"**분류:** OBS-CODE / SIM. **관련:** `src/content/story.ts`, `chapter3.ts`의 CH4_OPENING/MILESTONE_A_END; production/v02/scripts CH04~CH07.
**재현:** storyScenes의 연결 끝점과 승인 장면·퍼즐·엔딩을 대조하고 정상 상태 SIM으로 끝점에 도달한다.
**관찰:** 70개 scene,90개 choice/edge,769 beat,7개 조사 scene/27 hotspot,5개 deduction. 누락 jump target0. 조건을 무시한 구조상 70/70 도달 가능. 실제 상태의 대표 SIM은 CH4_MILESTONE_A_END에서 끝난다. CH4는 도입 2노드뿐이며 주신뢰3경로/B2/06/4:10, CH5~7과 WHITE MORNING/ONE MORE TIME/ZERO HOUR 3엔딩은 활성 런타임 미구현.
**증거:** SCENE_GRAPH.json, inventory-summary.json, CONTENT_COVERAGE.csv.
**영향:** 01:06 지식의 다음 루프 실전 보상, 후반 선택의 대가, 엔딩까지 이어지는 전체 경험은 아직 평가할 수 없다.
**최소 수정안:** 기존 vertical slice의 F01~F06 정합성을 먼저 잠근 후 승인된 제작 순서로 작은 단위 구현. 끝점에 실제 범위를 정직하게 안내. 범위를 축소한 “완성” 선언으로 해결하지 않는다.
**승인:** 후속 제작 실행 범위 확정 필요. 이번 감사에서 구현 시작 안 함."
F10,P1,ORIGIN TRACE 선택과 CANON 충돌,"**분류:** OBS-DOC. **관련:** `00_CANON_LOCK.md:97`, `02_BRANCH_AND_STATE_CONTRACTS.md:169`, `scripts/CH07_ZERO_HOUR.md` Z-04.
**재현/관찰:** CANON/계약은 주인공이 원본 판정 로그를 열지 않는다고 확정한다. Z-04는 확인한다/확인하지 않는다를 둘 다 같은 진엔딩으로 합류시킨다. 이는 UI 문구 오류가 아니라 주제의 선택 범위 차이다.
**증거:** 위 세 문서의 직접 대조. 런타임 미구현.
**영향:** 최종 주제, 엔딩 조건/도감 기록, 주인공 동기.
**최소 수정안:** 두 비교안을 나란히 보존하고 감독 결정 뒤 소스 우선순위와 엔딩 계약을 동기화한다.
**승인:** 반드시 필요. 자동 편집 금지."
